,HK_ticker,HK_close,SH_ticker,SH_close,CNH/HKD,SH_adjclose,SH-HK
2015-01-07,2202.HK,18.18,000002.SZ,14.23,0.8018,17.74756797206286,-0.4324320279371392
2015-01-08,2202.HK,17.82,000002.SZ,13.59,0.8013,16.959940097341818,-0.8600599026581826
2015-01-09,2202.HK,18.24,000002.SZ,13.45,0.8017,16.776849195459647,-1.4631508045403514
2015-01-12,2202.HK,17.7,000002.SZ,13.12,0.8011,16.377480963674945,-1.3225190363250547
2015-01-13,2202.HK,17.74,000002.SZ,13.07,0.7998,16.34158539634909,-1.3984146036509095
2015-01-14,2202.HK,18.08,000002.SZ,13.1,0.7995,16.38524077548468,-1.6947592245153196
2015-01-15,2202.HK,18.38,000002.SZ,13.77,0.7992,17.22972972972973,-1.1502702702702692
2015-01-16,2202.HK,17.5,000002.SZ,13.52,0.7983,16.93598897657522,-0.5640110234247793
2015-01-19,2202.HK,16.4,000002.SZ,12.17,0.8034,15.148120487926313,-1.2518795120736854
2015-01-20,2202.HK,16.7,000002.SZ,12.35,0.8028,15.383657199800698,-1.3163428001993012
2015-01-21,2202.HK,17.78,000002.SZ,13.05,0.8024,16.263708873379862,-1.516291126620139
2015-01-22,2202.HK,17.86,000002.SZ,13.58,0.8018,16.936891993015717,-0.9231080069842825
2015-01-23,2202.HK,18.26,000002.SZ,13.92,0.8012,17.373939091362956,-0.8860609086370452
2015-01-26,2202.HK,17.92,000002.SZ,13.7,0.8049,17.02074791899615,-0.8992520810038513
2015-01-27,2202.HK,17.4,000002.SZ,13.18,0.807,16.332094175960346,-1.0679058240396522
2015-01-28,2202.HK,17.38,000002.SZ,13.0,0.8055,16.139044072004967,-1.2409559279950315
2015-01-29,2202.HK,16.92,000002.SZ,13.01,0.8066,16.129432184478055,-0.7905678155219462
2015-01-30,2202.HK,16.88,000002.SZ,13.12,0.8071,16.255730392764217,-0.6242696072357816
2015-02-02,2202.HK,17.28,000002.SZ,12.88,0.8089,15.92285820249722,-1.3571417975027806
2015-02-03,2202.HK,17.7,000002.SZ,12.96,0.8088,16.023738872403563,-1.6762611275964368
2015-02-04,2202.HK,17.42,000002.SZ,12.8,0.8086,15.829829334652487,-1.5901706653475145
2015-02-05,2202.HK,17.52,000002.SZ,12.7,0.8061,15.754869122937599,-1.7651308770624006
2015-02-06,2202.HK,16.82,000002.SZ,12.16,0.8064,15.079365079365079,-1.7406349206349212
2015-02-09,2202.HK,16.66,000002.SZ,12.18,0.8053,15.124798211846516,-1.5352017881534845
2015-02-10,2202.HK,16.9,000002.SZ,12.42,0.8059,15.411341357488523,-1.488658642511476
2015-02-11,2202.HK,17.08,000002.SZ,12.41,0.8058,15.400843881856542,-1.6791561181434567
2015-02-12,2202.HK,17.18,000002.SZ,12.47,0.8057,15.477224773488892,-1.7027752265111076
2015-02-13,2202.HK,17.42,000002.SZ,12.76,0.8055,15.841092489137182,-1.5789075108628197
2015-02-16,2202.HK,17.42,000002.SZ,12.64,0.8052,15.697963238946846,-1.7220367610531557
2015-02-17,2202.HK,17.68,000002.SZ,12.77,0.8082,15.800544419698094,-1.8794555803019062
2015-02-25,2202.HK,17.2,000002.SZ,12.4,0.8092,15.32377656945131,-1.8762234305486896
2015-02-26,2202.HK,17.92,000002.SZ,12.85,0.8086,15.891664605490972,-2.02833539450903
2015-02-27,2202.HK,17.8,000002.SZ,12.75,0.8081,15.777750278430887,-2.022249721569114
2015-03-02,2202.HK,17.7,000002.SZ,12.77,0.8109,15.74793439388334,-1.9520656061166601
2015-03-03,2202.HK,16.98,000002.SZ,12.2,0.8106,15.050579817419194,-1.929420182580806
2015-03-04,2202.HK,16.98,000002.SZ,12.22,0.8103,15.08083425891645,-1.89916574108355
2015-03-05,2202.HK,16.64,000002.SZ,11.9,0.8101,14.689544500678927,-1.9504554993210732
2015-03-06,2202.HK,16.54,000002.SZ,11.94,0.8094,14.75166790214974,-1.78833209785026
2015-03-09,2202.HK,16.5,000002.SZ,12.22,0.8087,15.11067144800297,-1.3893285519970302
2015-03-10,2202.HK,16.0,000002.SZ,12.02,0.809,14.857849196538936,-1.142150803461064
2015-03-11,2202.HK,15.78,000002.SZ,11.93,0.8087,14.752071225423519,-1.0279287745764805
2015-03-12,2202.HK,15.96,000002.SZ,12.22,0.809,15.105067985166873,-0.8549320148331283
2015-03-13,2202.HK,16.5,000002.SZ,12.23,0.808,15.136138613861386,-1.3638613861386144
2015-03-16,2202.HK,16.8,000002.SZ,12.49,0.809,15.438813349814586,-1.3611866501854148
2015-03-17,2202.HK,16.94,000002.SZ,12.63,0.8082,15.62731997030438,-1.3126800296956205
2015-03-18,2202.HK,17.3,000002.SZ,13.14,0.8051,16.320953918767856,-0.9790460812321449
2015-03-19,2202.HK,17.42,000002.SZ,12.87,0.804,16.007462686567163,-1.4125373134328392
2015-03-20,2202.HK,17.82,000002.SZ,13.14,0.8008,16.40859140859141,-1.4114085914085912
2015-03-23,2202.HK,17.92,000002.SZ,13.36,0.801,16.67915106117353,-1.2408489388264705
2015-03-24,2202.HK,17.66,000002.SZ,13.05,0.8007,16.298239040839267,-1.3617609591607334
2015-03-25,2202.HK,17.24,000002.SZ,12.78,0.8004,15.967016491754123,-1.2729835082458756
2015-03-26,2202.HK,17.12,000002.SZ,12.95,0.8012,16.163255117324013,-0.9567448826759879
2015-03-27,2202.HK,17.8,000002.SZ,13.35,0.801,16.666666666666664,-1.1333333333333364
2015-03-30,2202.HK,18.66,000002.SZ,14.24,0.8024,17.74675972083749,-0.9132402791625118
2015-03-31,2202.HK,18.4,000002.SZ,13.82,0.801,17.253433208489387,-1.1465667915106117
2015-04-01,2202.HK,18.08,000002.SZ,13.72,0.8002,17.1457135716071,-0.9342864283928982
2015-04-02,2202.HK,18.22,000002.SZ,13.59,0.8005,16.976889444097438,-1.243110555902561
2015-04-03,2202.HK,18.22,000002.SZ,13.45,0.8005,16.80199875078076,-1.4180012492192375
2015-04-07,2202.HK,18.22,000002.SZ,13.72,0.8005,17.139287945034354,-1.0807120549656446
2015-04-08,2202.HK,18.82,000002.SZ,13.82,0.7996,17.283641820910457,-1.536358179089543
2015-04-09,2202.HK,19.16,000002.SZ,14.64,0.8008,18.281718281718284,-0.8782817182817162
2015-04-10,2202.HK,19.34,000002.SZ,14.32,0.8018,17.85981541531554,-1.4801845846844586
2015-04-13,2202.HK,19.26,000002.SZ,14.37,0.8025,17.906542056074766,-1.3534579439252354
2015-04-14,2202.HK,19.02,000002.SZ,14.12,0.8034,17.57530495394573,-1.444695046054271
2015-04-15,2202.HK,19.04,000002.SZ,13.9,0.8021,17.329510036155092,-1.710489963844907
2015-04-16,2202.HK,19.18,000002.SZ,14.3,0.8007,17.85937304858249,-1.320626951417509
2015-04-17,2202.HK,19.52,000002.SZ,14.67,0.7994,18.35126344758569,-1.168736552414309
2015-04-20,2202.HK,19.16,000002.SZ,14.21,0.799,17.784730913642054,-1.375269086357946
2015-04-21,2202.HK,19.32,000002.SZ,14.48,0.8001,18.097737782777152,-1.2222622172228483
2015-04-22,2202.HK,20.75,000002.SZ,14.88,0.7998,18.6046511627907,-2.1453488372093013
2015-04-23,2202.HK,20.45,000002.SZ,14.76,0.7989,18.47540368006008,-1.97459631993992
2015-04-24,2202.HK,20.35,000002.SZ,14.42,0.7995,18.036272670419013,-2.3137273295809884
2015-04-27,2202.HK,20.45,000002.SZ,14.7,0.7994,18.38879159369527,-2.061208406304729
2015-04-28,2202.HK,19.88,000002.SZ,14.19,0.8022,17.68885564697083,-2.19114435302917
2015-04-29,2202.HK,19.7,000002.SZ,14.24,0.8008,17.782217782217785,-1.9177822177822144
2015-04-30,2202.HK,20.65,000002.SZ,14.6,0.8002,18.245438640339913,-2.404561359660086
2015-05-04,2202.HK,20.1,000002.SZ,14.55,0.801,18.164794007490638,-1.9352059925093634
2015-05-05,2202.HK,19.3,000002.SZ,13.77,0.8014,17.18243074619416,-2.11756925380584
2015-05-06,2202.HK,18.78,000002.SZ,13.56,0.8011,16.926725752090874,-1.8532742479091269
2015-05-07,2202.HK,18.72,000002.SZ,13.61,0.8004,17.0039980009995,-1.7160019990005004
2015-05-08,2202.HK,19.2,000002.SZ,13.8,0.8011,17.226313818499563,-1.9736861815004367
2015-05-11,2202.HK,19.56,000002.SZ,14.07,0.8011,17.563350393209337,-1.9966496067906618
2015-05-12,2202.HK,19.04,000002.SZ,13.92,0.8013,17.37177087233246,-1.6682291276675407
2015-05-13,2202.HK,19.6,000002.SZ,14.7,0.8009,18.354351354725935,-1.2456486452740663
2015-05-14,2202.HK,19.92,000002.SZ,14.59,0.8001,18.23522059742532,-1.68477940257468
2015-05-15,2202.HK,19.8,000002.SZ,14.16,0.8,17.7,-2.1000000000000014
2015-05-18,2202.HK,19.62,000002.SZ,13.84,0.8008,17.282717282717282,-2.3372827172827186
2015-05-19,2202.HK,19.62,000002.SZ,14.16,0.8004,17.691154422788607,-1.9288455772113942
2015-05-20,2202.HK,19.26,000002.SZ,14.05,0.8008,17.544955044955046,-1.7150449550449558
2015-05-21,2202.HK,19.4,000002.SZ,14.15,0.8006,17.67424431676243,-1.7257556832375691
2015-05-22,2202.HK,19.86,000002.SZ,14.49,0.7996,18.121560780390197,-1.738439219609802
2015-05-25,2202.HK,19.86,000002.SZ,15.02,0.7996,18.78439219609805,-1.0756078039019492
2015-05-26,2202.HK,20.95,000002.SZ,15.77,0.7996,19.722361180590294,-1.2276388194097052
2015-05-27,2202.HK,21.4,000002.SZ,15.4,0.8006,19.235573320009994,-2.1644266799900045
2015-05-28,2202.HK,20.6,000002.SZ,14.35,0.8003,17.930775959015367,-2.669224040984634
2015-05-29,2202.HK,20.45,000002.SZ,14.35,0.8002,17.933016745813546,-2.516983254186453
2015-06-01,2202.HK,20.7,000002.SZ,14.88,0.8003,18.59302761464451,-2.1069723853554905
2015-06-02,2202.HK,20.15,000002.SZ,14.8,0.8,18.5,-1.6499999999999986
2015-06-03,2202.HK,20.15,000002.SZ,15.05,0.7996,18.82191095547774,-1.3280890445222582
2015-06-04,2202.HK,19.94,000002.SZ,14.99,0.7998,18.742185546386597,-1.1978144536134039
2015-06-05,2202.HK,20.4,000002.SZ,15.57,0.8003,19.455204298388104,-0.9447957016118949
